file,name,bytes,mb,mb_lbl
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__5.netcdf,hierarchical_pymc3_10-10000-5__5,4822166640,4822.16664,4822 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__6.netcdf,hierarchical_pymc3_10-10000-5__6,4669001961,4669.001961,4669 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__7.netcdf,hierarchical_pymc3_10-10000-5__7,4314737939,4314.737939,4314 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__8.netcdf,hierarchical_pymc3_10-10000-5__8,2586139680,2586.13968,2586 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-10000-5__9.netcdf,hierarchical_pymc3_10-10000-5__9,5000265451,5000.265451,5000 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2.pkl,hierarchical_pymc3_10-5-2,2818541,2.818541,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__1.netcdf,hierarchical_pymc3_10-5-2__1,2273059,2.273059,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__10.netcdf,hierarchical_pymc3_10-5-2__10,2201992,2.201992,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__2.netcdf,hierarchical_pymc3_10-5-2__2,2140747,2.140747,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__3.netcdf,hierarchical_pymc3_10-5-2__3,2239511,2.239511,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__4.netcdf,hierarchical_pymc3_10-5-2__4,2238758,2.238758,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__5.netcdf,hierarchical_pymc3_10-5-2__5,2307200,2.3072,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__6.netcdf,hierarchical_pymc3_10-5-2__6,2079956,2.079956,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__7.netcdf,hierarchical_pymc3_10-5-2__7,2230198,2.230198,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__8.netcdf,hierarchical_pymc3_10-5-2__8,2238797,2.238797,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-5-2__9.netcdf,hierarchical_pymc3_10-5-2__9,2141648,2.141648,2 MB
/n/scratch3/users/j/jc604/pymc3-stan-comparison_files/hierarchical_pymc3_10-50-2.pkl,hierarchical_pymc3_10-50-2,22990073,22.990073,22 MB
